"","Periodo","Sexo","Municipios","value"
"2555","2003","Hombres","26040 Cañas",65
"2556","2002","Hombres","26040 Cañas",66
"2557","2001","Hombres","26040 Cañas",49
"2558","2000","Hombres","26040 Cañas",51
"2559","1999","Hombres","26040 Cañas",52
"2560","1998","Hombres","26040 Cañas",54
"2561","1997","Hombres","26040 Cañas",NA
"2562","1996","Hombres","26040 Cañas",55
"2563","2016","Mujeres","26040 Cañas",44
"2564","2015","Mujeres","26040 Cañas",45
"2565","2014","Mujeres","26040 Cañas",44
"2566","2013","Mujeres","26040 Cañas",53
"2567","2012","Mujeres","26040 Cañas",49
"2568","2011","Mujeres","26040 Cañas",47
"2569","2010","Mujeres","26040 Cañas",48
"2570","2009","Mujeres","26040 Cañas",51
"2571","2008","Mujeres","26040 Cañas",51
"2572","2007","Mujeres","26040 Cañas",48
"2573","2006","Mujeres","26040 Cañas",51
"2574","2005","Mujeres","26040 Cañas",56
"2575","2004","Mujeres","26040 Cañas",57
"2576","2003","Mujeres","26040 Cañas",56
"2577","2002","Mujeres","26040 Cañas",59
"2578","2001","Mujeres","26040 Cañas",58
"2579","2000","Mujeres","26040 Cañas",60
"2580","1999","Mujeres","26040 Cañas",61
"2581","1998","Mujeres","26040 Cañas",63
"2582","1997","Mujeres","26040 Cañas",NA
"2583","1996","Mujeres","26040 Cañas",64
"2584","2016","Total","26041 Cárdenas",161
"2585","2015","Total","26041 Cárdenas",162
"2586","2014","Total","26041 Cárdenas",173
"2587","2013","Total","26041 Cárdenas",174
"2588","2012","Total","26041 Cárdenas",178
"2589","2011","Total","26041 Cárdenas",182
"2590","2010","Total","26041 Cárdenas",178
"2591","2009","Total","26041 Cárdenas",182
"2592","2008","Total","26041 Cárdenas",188
"2593","2007","Total","26041 Cárdenas",192
"2594","2006","Total","26041 Cárdenas",197
"2595","2005","Total","26041 Cárdenas",202
"2596","2004","Total","26041 Cárdenas",199
"2597","2003","Total","26041 Cárdenas",217
"2598","2002","Total","26041 Cárdenas",231
"2599","2001","Total","26041 Cárdenas",252
"2600","2000","Total","26041 Cárdenas",241
"2601","1999","Total","26041 Cárdenas",263
"2602","1998","Total","26041 Cárdenas",249
"2603","1997","Total","26041 Cárdenas",NA
"2604","1996","Total","26041 Cárdenas",253
"2605","2016","Hombres","26041 Cárdenas",85
"2606","2015","Hombres","26041 Cárdenas",85
"2607","2014","Hombres","26041 Cárdenas",90
"2608","2013","Hombres","26041 Cárdenas",87
"2609","2012","Hombres","26041 Cárdenas",91
"2610","2011","Hombres","26041 Cárdenas",94
"2611","2010","Hombres","26041 Cárdenas",91
"2612","2009","Hombres","26041 Cárdenas",90
"2613","2008","Hombres","26041 Cárdenas",93
"2614","2007","Hombres","26041 Cárdenas",91
"2615","2006","Hombres","26041 Cárdenas",93
"2616","2005","Hombres","26041 Cárdenas",94
"2617","2004","Hombres","26041 Cárdenas",92
"2618","2003","Hombres","26041 Cárdenas",104
"2619","2002","Hombres","26041 Cárdenas",109
"2620","2001","Hombres","26041 Cárdenas",122
"2621","2000","Hombres","26041 Cárdenas",117
"2622","1999","Hombres","26041 Cárdenas",129
"2623","1998","Hombres","26041 Cárdenas",124
"2624","1997","Hombres","26041 Cárdenas",NA
"2625","1996","Hombres","26041 Cárdenas",126
"2626","2016","Mujeres","26041 Cárdenas",76
"2627","2015","Mujeres","26041 Cárdenas",77
"2628","2014","Mujeres","26041 Cárdenas",83
"2629","2013","Mujeres","26041 Cárdenas",87
"2630","2012","Mujeres","26041 Cárdenas",87
"2631","2011","Mujeres","26041 Cárdenas",88
"2632","2010","Mujeres","26041 Cárdenas",87
"2633","2009","Mujeres","26041 Cárdenas",92
"2634","2008","Mujeres","26041 Cárdenas",95
"2635","2007","Mujeres","26041 Cárdenas",101
"2636","2006","Mujeres","26041 Cárdenas",104
"2637","2005","Mujeres","26041 Cárdenas",108
"2638","2004","Mujeres","26041 Cárdenas",107
"2639","2003","Mujeres","26041 Cárdenas",113
"2640","2002","Mujeres","26041 Cárdenas",122
"2641","2001","Mujeres","26041 Cárdenas",130
"2642","2000","Mujeres","26041 Cárdenas",124
"2643","1999","Mujeres","26041 Cárdenas",134
"2644","1998","Mujeres","26041 Cárdenas",125
"2645","1997","Mujeres","26041 Cárdenas",NA
"2646","1996","Mujeres","26041 Cárdenas",127
"2647","2016","Total","26042 Casalarreina",1193
"2648","2015","Total","26042 Casalarreina",1190
"2649","2014","Total","26042 Casalarreina",1187
"2650","2013","Total","26042 Casalarreina",1208
"2651","2012","Total","26042 Casalarreina",1355
"2652","2011","Total","26042 Casalarreina",1388
"2653","2010","Total","26042 Casalarreina",1373
"2654","2009","Total","26042 Casalarreina",1366
"2655","2008","Total","26042 Casalarreina",1280
"2656","2007","Total","26042 Casalarreina",1286
"2657","2006","Total","26042 Casalarreina",1315
"2658","2005","Total","26042 Casalarreina",1257
"2659","2004","Total","26042 Casalarreina",1206
"2660","2003","Total","26042 Casalarreina",1064
"2661","2002","Total","26042 Casalarreina",995
"2662","2001","Total","26042 Casalarreina",913
"2663","2000","Total","26042 Casalarreina",901
"2664","1999","Total","26042 Casalarreina",889
"2665","1998","Total","26042 Casalarreina",870
"2666","1997","Total","26042 Casalarreina",NA
"2667","1996","Total","26042 Casalarreina",909
"2668","2016","Hombres","26042 Casalarreina",611
"2669","2015","Hombres","26042 Casalarreina",611
"2670","2014","Hombres","26042 Casalarreina",613
"2671","2013","Hombres","26042 Casalarreina",631
"2672","2012","Hombres","26042 Casalarreina",726
"2673","2011","Hombres","26042 Casalarreina",750
"2674","2010","Hombres","26042 Casalarreina",744
"2675","2009","Hombres","26042 Casalarreina",755
"2676","2008","Hombres","26042 Casalarreina",708
"2677","2007","Hombres","26042 Casalarreina",713
"2678","2006","Hombres","26042 Casalarreina",732
"2679","2005","Hombres","26042 Casalarreina",705
"2680","2004","Hombres","26042 Casalarreina",659
"2681","2003","Hombres","26042 Casalarreina",578
"2682","2002","Hombres","26042 Casalarreina",532
"2683","2001","Hombres","26042 Casalarreina",467
"2684","2000","Hombres","26042 Casalarreina",452
"2685","1999","Hombres","26042 Casalarreina",446
"2686","1998","Hombres","26042 Casalarreina",439
"2687","1997","Hombres","26042 Casalarreina",NA
"2688","1996","Hombres","26042 Casalarreina",459
"2689","2016","Mujeres","26042 Casalarreina",582
"2690","2015","Mujeres","26042 Casalarreina",579
"2691","2014","Mujeres","26042 Casalarreina",574
"2692","2013","Mujeres","26042 Casalarreina",577
"2693","2012","Mujeres","26042 Casalarreina",629
"2694","2011","Mujeres","26042 Casalarreina",638
"2695","2010","Mujeres","26042 Casalarreina",629
"2696","2009","Mujeres","26042 Casalarreina",611
"2697","2008","Mujeres","26042 Casalarreina",572
"2698","2007","Mujeres","26042 Casalarreina",573
"2699","2006","Mujeres","26042 Casalarreina",583
"2700","2005","Mujeres","26042 Casalarreina",552
"2701","2004","Mujeres","26042 Casalarreina",547
"2702","2003","Mujeres","26042 Casalarreina",486
"2703","2002","Mujeres","26042 Casalarreina",463
"2704","2001","Mujeres","26042 Casalarreina",446
"2705","2000","Mujeres","26042 Casalarreina",449
"2706","1999","Mujeres","26042 Casalarreina",443
"2707","1998","Mujeres","26042 Casalarreina",431
"2708","1997","Mujeres","26042 Casalarreina",NA
"2709","1996","Mujeres","26042 Casalarreina",450
"2710","2016","Total","26043 Castañares de Rioja",448
"2711","2015","Total","26043 Castañares de Rioja",439
"2712","2014","Total","26043 Castañares de Rioja",464
"2713","2013","Total","26043 Castañares de Rioja",462
"2714","2012","Total","26043 Castañares de Rioja",474
"2715","2011","Total","26043 Castañares de Rioja",486
"2716","2010","Total","26043 Castañares de Rioja",533
"2717","2009","Total","26043 Castañares de Rioja",392
"2718","2008","Total","26043 Castañares de Rioja",386
"2719","2007","Total","26043 Castañares de Rioja",392
"2720","2006","Total","26043 Castañares de Rioja",384
"2721","2005","Total","26043 Castañares de Rioja",406
"2722","2004","Total","26043 Castañares de Rioja",418
"2723","2003","Total","26043 Castañares de Rioja",427
"2724","2002","Total","26043 Castañares de Rioja",449
"2725","2001","Total","26043 Castañares de Rioja",460
"2726","2000","Total","26043 Castañares de Rioja",459
"2727","1999","Total","26043 Castañares de Rioja",489
"2728","1998","Total","26043 Castañares de Rioja",483
"2729","1997","Total","26043 Castañares de Rioja",NA
"2730","1996","Total","26043 Castañares de Rioja",496
"2731","2016","Hombres","26043 Castañares de Rioja",223
"2732","2015","Hombres","26043 Castañares de Rioja",218
"2733","2014","Hombres","26043 Castañares de Rioja",227
"2734","2013","Hombres","26043 Castañares de Rioja",224
"2735","2012","Hombres","26043 Castañares de Rioja",224
"2736","2011","Hombres","26043 Castañares de Rioja",228
"2737","2010","Hombres","26043 Castañares de Rioja",255
"2738","2009","Hombres","26043 Castañares de Rioja",174
"2739","2008","Hombres","26043 Castañares de Rioja",182
"2740","2007","Hombres","26043 Castañares de Rioja",186
"2741","2006","Hombres","26043 Castañares de Rioja",185
"2742","2005","Hombres","26043 Castañares de Rioja",196
"2743","2004","Hombres","26043 Castañares de Rioja",205
"2744","2003","Hombres","26043 Castañares de Rioja",206
"2745","2002","Hombres","26043 Castañares de Rioja",219
"2746","2001","Hombres","26043 Castañares de Rioja",228
"2747","2000","Hombres","26043 Castañares de Rioja",230
"2748","1999","Hombres","26043 Castañares de Rioja",248
"2749","1998","Hombres","26043 Castañares de Rioja",249
"2750","1997","Hombres","26043 Castañares de Rioja",NA
"2751","1996","Hombres","26043 Castañares de Rioja",256
"2752","2016","Mujeres","26043 Castañares de Rioja",225
"2753","2015","Mujeres","26043 Castañares de Rioja",221
"2754","2014","Mujeres","26043 Castañares de Rioja",237
"2755","2013","Mujeres","26043 Castañares de Rioja",238
"2756","2012","Mujeres","26043 Castañares de Rioja",250
"2757","2011","Mujeres","26043 Castañares de Rioja",258
"2758","2010","Mujeres","26043 Castañares de Rioja",278
"2759","2009","Mujeres","26043 Castañares de Rioja",218
"2760","2008","Mujeres","26043 Castañares de Rioja",204
"2761","2007","Mujeres","26043 Castañares de Rioja",206
"2762","2006","Mujeres","26043 Castañares de Rioja",199
"2763","2005","Mujeres","26043 Castañares de Rioja",210
"2764","2004","Mujeres","26043 Castañares de Rioja",213
"2765","2003","Mujeres","26043 Castañares de Rioja",221
"2766","2002","Mujeres","26043 Castañares de Rioja",230
"2767","2001","Mujeres","26043 Castañares de Rioja",232
"2768","2000","Mujeres","26043 Castañares de Rioja",229
"2769","1999","Mujeres","26043 Castañares de Rioja",241
"2770","1998","Mujeres","26043 Castañares de Rioja",234
"2771","1997","Mujeres","26043 Castañares de Rioja",NA
"2772","1996","Mujeres","26043 Castañares de Rioja",240
"2773","2016","Total","26044 Castroviejo",59
"2774","2015","Total","26044 Castroviejo",68
"2775","2014","Total","26044 Castroviejo",58
"2776","2013","Total","26044 Castroviejo",58
"2777","2012","Total","26044 Castroviejo",60
"2778","2011","Total","26044 Castroviejo",67
"2779","2010","Total","26044 Castroviejo",57
"2780","2009","Total","26044 Castroviejo",64
"2781","2008","Total","26044 Castroviejo",59
"2782","2007","Total","26044 Castroviejo",58
"2783","2006","Total","26044 Castroviejo",53
"2784","2005","Total","26044 Castroviejo",51
"2785","2004","Total","26044 Castroviejo",52
"2786","2003","Total","26044 Castroviejo",55
"2787","2002","Total","26044 Castroviejo",57
"2788","2001","Total","26044 Castroviejo",58
"2789","2000","Total","26044 Castroviejo",61
"2790","1999","Total","26044 Castroviejo",61
"2791","1998","Total","26044 Castroviejo",61
"2792","1997","Total","26044 Castroviejo",NA
"2793","1996","Total","26044 Castroviejo",63
"2794","2016","Hombres","26044 Castroviejo",36
"2795","2015","Hombres","26044 Castroviejo",40
"2796","2014","Hombres","26044 Castroviejo",32
"2797","2013","Hombres","26044 Castroviejo",33
"2798","2012","Hombres","26044 Castroviejo",34
"2799","2011","Hombres","26044 Castroviejo",37
"2800","2010","Hombres","26044 Castroviejo",33
"2801","2009","Hombres","26044 Castroviejo",38
"2802","2008","Hombres","26044 Castroviejo",36
"2803","2007","Hombres","26044 Castroviejo",34
"2804","2006","Hombres","26044 Castroviejo",31
"2805","2005","Hombres","26044 Castroviejo",29
"2806","2004","Hombres","26044 Castroviejo",30
"2807","2003","Hombres","26044 Castroviejo",33
"2808","2002","Hombres","26044 Castroviejo",35
"2809","2001","Hombres","26044 Castroviejo",36
"2810","2000","Hombres","26044 Castroviejo",31
"2811","1999","Hombres","26044 Castroviejo",31
"2812","1998","Hombres","26044 Castroviejo",31
"2813","1997","Hombres","26044 Castroviejo",NA
"2814","1996","Hombres","26044 Castroviejo",32
"2815","2016","Mujeres","26044 Castroviejo",23
"2816","2015","Mujeres","26044 Castroviejo",28
"2817","2014","Mujeres","26044 Castroviejo",26
"2818","2013","Mujeres","26044 Castroviejo",25
"2819","2012","Mujeres","26044 Castroviejo",26
"2820","2011","Mujeres","26044 Castroviejo",30
"2821","2010","Mujeres","26044 Castroviejo",24
"2822","2009","Mujeres","26044 Castroviejo",26
"2823","2008","Mujeres","26044 Castroviejo",23
"2824","2007","Mujeres","26044 Castroviejo",24
"2825","2006","Mujeres","26044 Castroviejo",22
"2826","2005","Mujeres","26044 Castroviejo",22
"2827","2004","Mujeres","26044 Castroviejo",22
"2828","2003","Mujeres","26044 Castroviejo",22
"2829","2002","Mujeres","26044 Castroviejo",22
"2830","2001","Mujeres","26044 Castroviejo",22
"2831","2000","Mujeres","26044 Castroviejo",30
"2832","1999","Mujeres","26044 Castroviejo",30
"2833","1998","Mujeres","26044 Castroviejo",30
"2834","1997","Mujeres","26044 Castroviejo",NA
"2835","1996","Mujeres","26044 Castroviejo",31
"2836","2016","Total","26045 Cellorigo",12
"2837","2015","Total","26045 Cellorigo",12
"2838","2014","Total","26045 Cellorigo",12
"2839","2013","Total","26045 Cellorigo",13
"2840","2012","Total","26045 Cellorigo",13
"2841","2011","Total","26045 Cellorigo",13
"2842","2010","Total","26045 Cellorigo",13
"2843","2009","Total","26045 Cellorigo",15
"2844","2008","Total","26045 Cellorigo",16
"2845","2007","Total","26045 Cellorigo",18
"2846","2006","Total","26045 Cellorigo",18
"2847","2005","Total","26045 Cellorigo",20
"2848","2004","Total","26045 Cellorigo",22
"2849","2003","Total","26045 Cellorigo",21
"2850","2002","Total","26045 Cellorigo",21
"2851","2001","Total","26045 Cellorigo",21
"2852","2000","Total","26045 Cellorigo",21
"2853","1999","Total","26045 Cellorigo",21
"2854","1998","Total","26045 Cellorigo",20
"2855","1997","Total","26045 Cellorigo",NA
"2856","1996","Total","26045 Cellorigo",20
"2857","2016","Hombres","26045 Cellorigo",5
"2858","2015","Hombres","26045 Cellorigo",5
"2859","2014","Hombres","26045 Cellorigo",5
"2860","2013","Hombres","26045 Cellorigo",6
"2861","2012","Hombres","26045 Cellorigo",6
"2862","2011","Hombres","26045 Cellorigo",6
"2863","2010","Hombres","26045 Cellorigo",6
"2864","2009","Hombres","26045 Cellorigo",7
"2865","2008","Hombres","26045 Cellorigo",8
"2866","2007","Hombres","26045 Cellorigo",10
"2867","2006","Hombres","26045 Cellorigo",9
"2868","2005","Hombres","26045 Cellorigo",9
"2869","2004","Hombres","26045 Cellorigo",11
"2870","2003","Hombres","26045 Cellorigo",11
"2871","2002","Hombres","26045 Cellorigo",11
"2872","2001","Hombres","26045 Cellorigo",11
"2873","2000","Hombres","26045 Cellorigo",11
"2874","1999","Hombres","26045 Cellorigo",11
"2875","1998","Hombres","26045 Cellorigo",11
"2876","1997","Hombres","26045 Cellorigo",NA
"2877","1996","Hombres","26045 Cellorigo",11
"2878","2016","Mujeres","26045 Cellorigo",7
"2879","2015","Mujeres","26045 Cellorigo",7
"2880","2014","Mujeres","26045 Cellorigo",7
"2881","2013","Mujeres","26045 Cellorigo",7
"2882","2012","Mujeres","26045 Cellorigo",7
"2883","2011","Mujeres","26045 Cellorigo",7
"2884","2010","Mujeres","26045 Cellorigo",7
"2885","2009","Mujeres","26045 Cellorigo",8
"2886","2008","Mujeres","26045 Cellorigo",8
"2887","2007","Mujeres","26045 Cellorigo",8
"2888","2006","Mujeres","26045 Cellorigo",9
"2889","2005","Mujeres","26045 Cellorigo",11
"2890","2004","Mujeres","26045 Cellorigo",11
"2891","2003","Mujeres","26045 Cellorigo",10
"2892","2002","Mujeres","26045 Cellorigo",10
"2893","2001","Mujeres","26045 Cellorigo",10
"2894","2000","Mujeres","26045 Cellorigo",10
"2895","1999","Mujeres","26045 Cellorigo",10
"2896","1998","Mujeres","26045 Cellorigo",9
"2897","1997","Mujeres","26045 Cellorigo",NA
"2898","1996","Mujeres","26045 Cellorigo",9
"2899","2016","Total","26046 Cenicero",2013
"2900","2015","Total","26046 Cenicero",2028
"2901","2014","Total","26046 Cenicero",2054
"2902","2013","Total","26046 Cenicero",2050
"2903","2012","Total","26046 Cenicero",2092
"2904","2011","Total","26046 Cenicero",2081
"2905","2010","Total","26046 Cenicero",2119
"2906","2009","Total","26046 Cenicero",2187
"2907","2008","Total","26046 Cenicero",2234
"2908","2007","Total","26046 Cenicero",2176
"2909","2006","Total","26046 Cenicero",2084
"2910","2005","Total","26046 Cenicero",2052
"2911","2004","Total","26046 Cenicero",2012
"2912","2003","Total","26046 Cenicero",2001
"2913","2002","Total","26046 Cenicero",2040
"2914","2001","Total","26046 Cenicero",2054
"2915","2000","Total","26046 Cenicero",2055
"2916","1999","Total","26046 Cenicero",2076
"2917","1998","Total","26046 Cenicero",2088
"2918","1997","Total","26046 Cenicero",NA
"2919","1996","Total","26046 Cenicero",2102
"2920","2016","Hombres","26046 Cenicero",1015
"2921","2015","Hombres","26046 Cenicero",1019
"2922","2014","Hombres","26046 Cenicero",1029
"2923","2013","Hombres","26046 Cenicero",1048
"2924","2012","Hombres","26046 Cenicero",1073
"2925","2011","Hombres","26046 Cenicero",1064
"2926","2010","Hombres","26046 Cenicero",1095
"2927","2009","Hombres","26046 Cenicero",1130
"2928","2008","Hombres","26046 Cenicero",1178
"2929","2007","Hombres","26046 Cenicero",1144
"2930","2006","Hombres","26046 Cenicero",1091
"2931","2005","Hombres","26046 Cenicero",1054
"2932","2004","Hombres","26046 Cenicero",1021
"2933","2003","Hombres","26046 Cenicero",1010
"2934","2002","Hombres","26046 Cenicero",1033
"2935","2001","Hombres","26046 Cenicero",1044
"2936","2000","Hombres","26046 Cenicero",1037
"2937","1999","Hombres","26046 Cenicero",1045
"2938","1998","Hombres","26046 Cenicero",1060
"2939","1997","Hombres","26046 Cenicero",NA
"2940","1996","Hombres","26046 Cenicero",1068
"2941","2016","Mujeres","26046 Cenicero",998
"2942","2015","Mujeres","26046 Cenicero",1009
"2943","2014","Mujeres","26046 Cenicero",1025
"2944","2013","Mujeres","26046 Cenicero",1002
"2945","2012","Mujeres","26046 Cenicero",1019
"2946","2011","Mujeres","26046 Cenicero",1017
"2947","2010","Mujeres","26046 Cenicero",1024
"2948","2009","Mujeres","26046 Cenicero",1057
"2949","2008","Mujeres","26046 Cenicero",1056
"2950","2007","Mujeres","26046 Cenicero",1032
"2951","2006","Mujeres","26046 Cenicero",993
"2952","2005","Mujeres","26046 Cenicero",998
"2953","2004","Mujeres","26046 Cenicero",991
"2954","2003","Mujeres","26046 Cenicero",991
"2955","2002","Mujeres","26046 Cenicero",1007
"2956","2001","Mujeres","26046 Cenicero",1010
"2957","2000","Mujeres","26046 Cenicero",1018
"2958","1999","Mujeres","26046 Cenicero",1031
"2959","1998","Mujeres","26046 Cenicero",1028
"2960","1997","Mujeres","26046 Cenicero",NA
"2961","1996","Mujeres","26046 Cenicero",1034
"2962","2016","Total","26047 Cervera del Río Alhama",2406
"2963","2015","Total","26047 Cervera del Río Alhama",2427
"2964","2014","Total","26047 Cervera del Río Alhama",2510
"2965","2013","Total","26047 Cervera del Río Alhama",2590
"2966","2012","Total","26047 Cervera del Río Alhama",2636
"2967","2011","Total","26047 Cervera del Río Alhama",2704
"2968","2010","Total","26047 Cervera del Río Alhama",2826
"2969","2009","Total","26047 Cervera del Río Alhama",2923
"2970","2008","Total","26047 Cervera del Río Alhama",2939
"2971","2007","Total","26047 Cervera del Río Alhama",2922
"2972","2006","Total","26047 Cervera del Río Alhama",2984
"2973","2005","Total","26047 Cervera del Río Alhama",3013
"2974","2004","Total","26047 Cervera del Río Alhama",2998
"2975","2003","Total","26047 Cervera del Río Alhama",2854
"2976","2002","Total","26047 Cervera del Río Alhama",2853
"2977","2001","Total","26047 Cervera del Río Alhama",2912
"2978","2000","Total","26047 Cervera del Río Alhama",2960
"2979","1999","Total","26047 Cervera del Río Alhama",3038
"2980","1998","Total","26047 Cervera del Río Alhama",3121
"2981","1997","Total","26047 Cervera del Río Alhama",NA
"2982","1996","Total","26047 Cervera del Río Alhama",3381
"2983","2016","Hombres","26047 Cervera del Río Alhama",1227
"2984","2015","Hombres","26047 Cervera del Río Alhama",1230
"2985","2014","Hombres","26047 Cervera del Río Alhama",1289
"2986","2013","Hombres","26047 Cervera del Río Alhama",1330
"2987","2012","Hombres","26047 Cervera del Río Alhama",1350
"2988","2011","Hombres","26047 Cervera del Río Alhama",1398
"2989","2010","Hombres","26047 Cervera del Río Alhama",1473
"2990","2009","Hombres","26047 Cervera del Río Alhama",1534
"2991","2008","Hombres","26047 Cervera del Río Alhama",1538
"2992","2007","Hombres","26047 Cervera del Río Alhama",1528
"2993","2006","Hombres","26047 Cervera del Río Alhama",1549
"2994","2005","Hombres","26047 Cervera del Río Alhama",1565
"2995","2004","Hombres","26047 Cervera del Río Alhama",1566
"2996","2003","Hombres","26047 Cervera del Río Alhama",1499
"2997","2002","Hombres","26047 Cervera del Río Alhama",1490
"2998","2001","Hombres","26047 Cervera del Río Alhama",1510
"2999","2000","Hombres","26047 Cervera del Río Alhama",1528
"3000","1999","Hombres","26047 Cervera del Río Alhama",1572
"3001","1998","Hombres","26047 Cervera del Río Alhama",1622
"3002","1997","Hombres","26047 Cervera del Río Alhama",NA
"3003","1996","Hombres","26047 Cervera del Río Alhama",1737
"3004","2016","Mujeres","26047 Cervera del Río Alhama",1179
"3005","2015","Mujeres","26047 Cervera del Río Alhama",1197
"3006","2014","Mujeres","26047 Cervera del Río Alhama",1221
"3007","2013","Mujeres","26047 Cervera del Río Alhama",1260
"3008","2012","Mujeres","26047 Cervera del Río Alhama",1286
"3009","2011","Mujeres","26047 Cervera del Río Alhama",1306
"3010","2010","Mujeres","26047 Cervera del Río Alhama",1353
"3011","2009","Mujeres","26047 Cervera del Río Alhama",1389
"3012","2008","Mujeres","26047 Cervera del Río Alhama",1401
"3013","2007","Mujeres","26047 Cervera del Río Alhama",1394
"3014","2006","Mujeres","26047 Cervera del Río Alhama",1435
"3015","2005","Mujeres","26047 Cervera del Río Alhama",1448
"3016","2004","Mujeres","26047 Cervera del Río Alhama",1432
"3017","2003","Mujeres","26047 Cervera del Río Alhama",1355
"3018","2002","Mujeres","26047 Cervera del Río Alhama",1363
"3019","2001","Mujeres","26047 Cervera del Río Alhama",1402
"3020","2000","Mujeres","26047 Cervera del Río Alhama",1432
"3021","1999","Mujeres","26047 Cervera del Río Alhama",1466
"3022","1998","Mujeres","26047 Cervera del Río Alhama",1499
"3023","1997","Mujeres","26047 Cervera del Río Alhama",NA
"3024","1996","Mujeres","26047 Cervera del Río Alhama",1644
"3025","2016","Total","26048 Cidamón",25
"3026","2015","Total","26048 Cidamón",27
"3027","2014","Total","26048 Cidamón",29
"3028","2013","Total","26048 Cidamón",32
"3029","2012","Total","26048 Cidamón",32
"3030","2011","Total","26048 Cidamón",36
"3031","2010","Total","26048 Cidamón",37
"3032","2009","Total","26048 Cidamón",36
"3033","2008","Total","26048 Cidamón",35
"3034","2007","Total","26048 Cidamón",38
"3035","2006","Total","26048 Cidamón",33
"3036","2005","Total","26048 Cidamón",30
"3037","2004","Total","26048 Cidamón",35
"3038","2003","Total","26048 Cidamón",39
"3039","2002","Total","26048 Cidamón",36
"3040","2001","Total","26048 Cidamón",40
"3041","2000","Total","26048 Cidamón",46
"3042","1999","Total","26048 Cidamón",45
"3043","1998","Total","26048 Cidamón",47
"3044","1997","Total","26048 Cidamón",NA
"3045","1996","Total","26048 Cidamón",50
"3046","2016","Hombres","26048 Cidamón",13
"3047","2015","Hombres","26048 Cidamón",15
"3048","2014","Hombres","26048 Cidamón",15
"3049","2013","Hombres","26048 Cidamón",18
"3050","2012","Hombres","26048 Cidamón",18
"3051","2011","Hombres","26048 Cidamón",19
"3052","2010","Hombres","26048 Cidamón",19
"3053","2009","Hombres","26048 Cidamón",19
"3054","2008","Hombres","26048 Cidamón",18
"3055","2007","Hombres","26048 Cidamón",19
"3056","2006","Hombres","26048 Cidamón",17
"3057","2005","Hombres","26048 Cidamón",17
"3058","2004","Hombres","26048 Cidamón",19
"3059","2003","Hombres","26048 Cidamón",21
"3060","2002","Hombres","26048 Cidamón",18
"3061","2001","Hombres","26048 Cidamón",20
"3062","2000","Hombres","26048 Cidamón",24
"3063","1999","Hombres","26048 Cidamón",24
"3064","1998","Hombres","26048 Cidamón",25
"3065","1997","Hombres","26048 Cidamón",NA
"3066","1996","Hombres","26048 Cidamón",27
"3067","2016","Mujeres","26048 Cidamón",12
"3068","2015","Mujeres","26048 Cidamón",12
"3069","2014","Mujeres","26048 Cidamón",14
"3070","2013","Mujeres","26048 Cidamón",14
"3071","2012","Mujeres","26048 Cidamón",14
"3072","2011","Mujeres","26048 Cidamón",17
"3073","2010","Mujeres","26048 Cidamón",18
"3074","2009","Mujeres","26048 Cidamón",17
"3075","2008","Mujeres","26048 Cidamón",17
"3076","2007","Mujeres","26048 Cidamón",19
"3077","2006","Mujeres","26048 Cidamón",16
"3078","2005","Mujeres","26048 Cidamón",13
"3079","2004","Mujeres","26048 Cidamón",16
"3080","2003","Mujeres","26048 Cidamón",18
"3081","2002","Mujeres","26048 Cidamón",18
"3082","2001","Mujeres","26048 Cidamón",20
"3083","2000","Mujeres","26048 Cidamón",22
"3084","1999","Mujeres","26048 Cidamón",21
"3085","1998","Mujeres","26048 Cidamón",22
"3086","1997","Mujeres","26048 Cidamón",NA
"3087","1996","Mujeres","26048 Cidamón",23
"3088","2016","Total","26049 Cihuri",207
"3089","2015","Total","26049 Cihuri",226
"3090","2014","Total","26049 Cihuri",230
"3091","2013","Total","26049 Cihuri",233
"3092","2012","Total","26049 Cihuri",229
"3093","2011","Total","26049 Cihuri",223
"3094","2010","Total","26049 Cihuri",215
"3095","2009","Total","26049 Cihuri",218
"3096","2008","Total","26049 Cihuri",219
"3097","2007","Total","26049 Cihuri",209
"3098","2006","Total","26049 Cihuri",182
"3099","2005","Total","26049 Cihuri",170
"3100","2004","Total","26049 Cihuri",166
"3101","2003","Total","26049 Cihuri",161
"3102","2002","Total","26049 Cihuri",158
"3103","2001","Total","26049 Cihuri",152
"3104","2000","Total","26049 Cihuri",153
"3105","1999","Total","26049 Cihuri",161
"3106","1998","Total","26049 Cihuri",157
"3107","1997","Total","26049 Cihuri",NA
"3108","1996","Total","26049 Cihuri",149
"3109","2016","Hombres","26049 Cihuri",107
"3110","2015","Hombres","26049 Cihuri",116
"3111","2014","Hombres","26049 Cihuri",118
"3112","2013","Hombres","26049 Cihuri",119
"3113","2012","Hombres","26049 Cihuri",116
"3114","2011","Hombres","26049 Cihuri",117
"3115","2010","Hombres","26049 Cihuri",115
"3116","2009","Hombres","26049 Cihuri",123
"3117","2008","Hombres","26049 Cihuri",122
"3118","2007","Hombres","26049 Cihuri",114
"3119","2006","Hombres","26049 Cihuri",98
"3120","2005","Hombres","26049 Cihuri",91
"3121","2004","Hombres","26049 Cihuri",87
"3122","2003","Hombres","26049 Cihuri",86
"3123","2002","Hombres","26049 Cihuri",83
"3124","2001","Hombres","26049 Cihuri",78
"3125","2000","Hombres","26049 Cihuri",80
"3126","1999","Hombres","26049 Cihuri",84
