"","Edad..grupos.quinquenales.","Municipios","Sexo","value"
"162","40-44","08008 Argençola","Ambos sexos",17
"163","45-49","08008 Argençola","Ambos sexos",8
"164","50-54","08008 Argençola","Ambos sexos",15
"165","55-59","08008 Argençola","Ambos sexos",11
"166","60-64","08008 Argençola","Ambos sexos",9
"167","65-69","08008 Argençola","Ambos sexos",12
"168","70-74","08008 Argençola","Ambos sexos",14
"169","75-79","08008 Argençola","Ambos sexos",10
"170","80-84","08008 Argençola","Ambos sexos",9
"171","85 y más","08008 Argençola","Ambos sexos",2
"172","Total","08009 Argentona","Ambos sexos",10056
"173","0-4","08009 Argentona","Ambos sexos",564
"174","05-09","08009 Argentona","Ambos sexos",518
"175","10-14","08009 Argentona","Ambos sexos",498
"176","15-19","08009 Argentona","Ambos sexos",623
"177","20-24","08009 Argentona","Ambos sexos",782
"178","25-29","08009 Argentona","Ambos sexos",824
"179","30-34","08009 Argentona","Ambos sexos",881
"180","35-39","08009 Argentona","Ambos sexos",861
"181","40-44","08009 Argentona","Ambos sexos",788
"182","45-49","08009 Argentona","Ambos sexos",731
"183","50-54","08009 Argentona","Ambos sexos",647
"184","55-59","08009 Argentona","Ambos sexos",531
"185","60-64","08009 Argentona","Ambos sexos",380
"186","65-69","08009 Argentona","Ambos sexos",440
"187","70-74","08009 Argentona","Ambos sexos",366
"188","75-79","08009 Argentona","Ambos sexos",270
"189","80-84","08009 Argentona","Ambos sexos",184
"190","85 y más","08009 Argentona","Ambos sexos",168
"191","Total","08010 Artés","Ambos sexos",4552
"192","0-4","08010 Artés","Ambos sexos",202
"193","05-09","08010 Artés","Ambos sexos",220
"194","10-14","08010 Artés","Ambos sexos",241
"195","15-19","08010 Artés","Ambos sexos",245
"196","20-24","08010 Artés","Ambos sexos",369
"197","25-29","08010 Artés","Ambos sexos",353
"198","30-34","08010 Artés","Ambos sexos",334
"199","35-39","08010 Artés","Ambos sexos",343
"200","40-44","08010 Artés","Ambos sexos",373
"201","45-49","08010 Artés","Ambos sexos",340
"202","50-54","08010 Artés","Ambos sexos",260
"203","55-59","08010 Artés","Ambos sexos",232
"204","60-64","08010 Artés","Ambos sexos",170
"205","65-69","08010 Artés","Ambos sexos",221
"206","70-74","08010 Artés","Ambos sexos",238
"207","75-79","08010 Artés","Ambos sexos",208
"208","80-84","08010 Artés","Ambos sexos",113
"209","85 y más","08010 Artés","Ambos sexos",90
"210","Total","08011 Avià","Ambos sexos",1921
"211","0-4","08011 Avià","Ambos sexos",86
"212","05-09","08011 Avià","Ambos sexos",77
"213","10-14","08011 Avià","Ambos sexos",75
"214","15-19","08011 Avià","Ambos sexos",92
"215","20-24","08011 Avià","Ambos sexos",133
"216","25-29","08011 Avià","Ambos sexos",123
"217","30-34","08011 Avià","Ambos sexos",159
"218","35-39","08011 Avià","Ambos sexos",147
"219","40-44","08011 Avià","Ambos sexos",170
"220","45-49","08011 Avià","Ambos sexos",135
"221","50-54","08011 Avià","Ambos sexos",111
"222","55-59","08011 Avià","Ambos sexos",78
"223","60-64","08011 Avià","Ambos sexos",73
"224","65-69","08011 Avià","Ambos sexos",124
"225","70-74","08011 Avià","Ambos sexos",119
"226","75-79","08011 Avià","Ambos sexos",107
"227","80-84","08011 Avià","Ambos sexos",61
"228","85 y más","08011 Avià","Ambos sexos",51
"229","Total","08012 Avinyó","Ambos sexos",2046
"230","0-4","08012 Avinyó","Ambos sexos",92
"231","05-09","08012 Avinyó","Ambos sexos",98
"232","10-14","08012 Avinyó","Ambos sexos",112
"233","15-19","08012 Avinyó","Ambos sexos",110
"234","20-24","08012 Avinyó","Ambos sexos",134
"235","25-29","08012 Avinyó","Ambos sexos",156
"236","30-34","08012 Avinyó","Ambos sexos",140
"237","35-39","08012 Avinyó","Ambos sexos",149
"238","40-44","08012 Avinyó","Ambos sexos",177
"239","45-49","08012 Avinyó","Ambos sexos",135
"240","50-54","08012 Avinyó","Ambos sexos",123
"241","55-59","08012 Avinyó","Ambos sexos",86
"242","60-64","08012 Avinyó","Ambos sexos",89
"243","65-69","08012 Avinyó","Ambos sexos",127
"244","70-74","08012 Avinyó","Ambos sexos",131
"245","75-79","08012 Avinyó","Ambos sexos",88
"246","80-84","08012 Avinyó","Ambos sexos",55
"247","85 y más","08012 Avinyó","Ambos sexos",44
"248","Total","08013 Avinyonet del Penedès","Ambos sexos",1304
"249","0-4","08013 Avinyonet del Penedès","Ambos sexos",59
"250","05-09","08013 Avinyonet del Penedès","Ambos sexos",49
"251","10-14","08013 Avinyonet del Penedès","Ambos sexos",56
"252","15-19","08013 Avinyonet del Penedès","Ambos sexos",52
"253","20-24","08013 Avinyonet del Penedès","Ambos sexos",85
"254","25-29","08013 Avinyonet del Penedès","Ambos sexos",133
"255","30-34","08013 Avinyonet del Penedès","Ambos sexos",99
"256","35-39","08013 Avinyonet del Penedès","Ambos sexos",90
"257","40-44","08013 Avinyonet del Penedès","Ambos sexos",97
"258","45-49","08013 Avinyonet del Penedès","Ambos sexos",74
"259","50-54","08013 Avinyonet del Penedès","Ambos sexos",91
"260","55-59","08013 Avinyonet del Penedès","Ambos sexos",85
