"","Edad..grupos.quinquenales.","Municipios","Sexo","value"
"10028","65-69","08217 Sant Joan Despí","Varones",533
"10029","70-74","08217 Sant Joan Despí","Varones",404
"10030","75-79","08217 Sant Joan Despí","Varones",295
"10031","80-84","08217 Sant Joan Despí","Varones",126
"10032","85 y más","08217 Sant Joan Despí","Varones",84
"10033","Total","08218 Sant Joan de Vilatorrada","Varones",4695
"10034","0-4","08218 Sant Joan de Vilatorrada","Varones",221
"10035","05-09","08218 Sant Joan de Vilatorrada","Varones",228
"10036","10-14","08218 Sant Joan de Vilatorrada","Varones",238
"10037","15-19","08218 Sant Joan de Vilatorrada","Varones",274
"10038","20-24","08218 Sant Joan de Vilatorrada","Varones",394
"10039","25-29","08218 Sant Joan de Vilatorrada","Varones",475
"10040","30-34","08218 Sant Joan de Vilatorrada","Varones",453
"10041","35-39","08218 Sant Joan de Vilatorrada","Varones",383
"10042","40-44","08218 Sant Joan de Vilatorrada","Varones",351
"10043","45-49","08218 Sant Joan de Vilatorrada","Varones",303
"10044","50-54","08218 Sant Joan de Vilatorrada","Varones",294
"10045","55-59","08218 Sant Joan de Vilatorrada","Varones",245
"10046","60-64","08218 Sant Joan de Vilatorrada","Varones",215
"10047","65-69","08218 Sant Joan de Vilatorrada","Varones",211
"10048","70-74","08218 Sant Joan de Vilatorrada","Varones",179
"10049","75-79","08218 Sant Joan de Vilatorrada","Varones",116
"10050","80-84","08218 Sant Joan de Vilatorrada","Varones",75
"10051","85 y más","08218 Sant Joan de Vilatorrada","Varones",40
"10052","Total","08219 Vilassar de Mar","Varones",8691
"10053","0-4","08219 Vilassar de Mar","Varones",458
"10054","05-09","08219 Vilassar de Mar","Varones",475
"10055","10-14","08219 Vilassar de Mar","Varones",488
"10056","15-19","08219 Vilassar de Mar","Varones",538
"10057","20-24","08219 Vilassar de Mar","Varones",640
"10058","25-29","08219 Vilassar de Mar","Varones",720
"10059","30-34","08219 Vilassar de Mar","Varones",782
"10060","35-39","08219 Vilassar de Mar","Varones",820
"10061","40-44","08219 Vilassar de Mar","Varones",716
"10062","45-49","08219 Vilassar de Mar","Varones",641
"10063","50-54","08219 Vilassar de Mar","Varones",594
"10064","55-59","08219 Vilassar de Mar","Varones",486
"10065","60-64","08219 Vilassar de Mar","Varones",362
"10066","65-69","08219 Vilassar de Mar","Varones",353
"10067","70-74","08219 Vilassar de Mar","Varones",261
"10068","75-79","08219 Vilassar de Mar","Varones",173
"10069","80-84","08219 Vilassar de Mar","Varones",116
"10070","85 y más","08219 Vilassar de Mar","Varones",68
"10071","Total","08220 Sant Julià de Vilatorta","Varones",1223
"10072","0-4","08220 Sant Julià de Vilatorta","Varones",79
"10073","05-09","08220 Sant Julià de Vilatorta","Varones",62
"10074","10-14","08220 Sant Julià de Vilatorta","Varones",74
"10075","15-19","08220 Sant Julià de Vilatorta","Varones",66
"10076","20-24","08220 Sant Julià de Vilatorta","Varones",82
"10077","25-29","08220 Sant Julià de Vilatorta","Varones",118
"10078","30-34","08220 Sant Julià de Vilatorta","Varones",89
"10079","35-39","08220 Sant Julià de Vilatorta","Varones",113
"10080","40-44","08220 Sant Julià de Vilatorta","Varones",113
"10081","45-49","08220 Sant Julià de Vilatorta","Varones",86
"10082","50-54","08220 Sant Julià de Vilatorta","Varones",89
"10083","55-59","08220 Sant Julià de Vilatorta","Varones",65
"10084","60-64","08220 Sant Julià de Vilatorta","Varones",38
"10085","65-69","08220 Sant Julià de Vilatorta","Varones",58
"10086","70-74","08220 Sant Julià de Vilatorta","Varones",32
"10087","75-79","08220 Sant Julià de Vilatorta","Varones",35
"10088","80-84","08220 Sant Julià de Vilatorta","Varones",17
"10089","85 y más","08220 Sant Julià de Vilatorta","Varones",7
"10090","Total","08221 Sant Just Desvern","Varones",6973
"10091","0-4","08221 Sant Just Desvern","Varones",359
"10092","05-09","08221 Sant Just Desvern","Varones",400
"10093","10-14","08221 Sant Just Desvern","Varones",414
"10094","15-19","08221 Sant Just Desvern","Varones",420
"10095","20-24","08221 Sant Just Desvern","Varones",527
"10096","25-29","08221 Sant Just Desvern","Varones",590
"10097","30-34","08221 Sant Just Desvern","Varones",543
"10098","35-39","08221 Sant Just Desvern","Varones",559
"10099","40-44","08221 Sant Just Desvern","Varones",507
"10100","45-49","08221 Sant Just Desvern","Varones",520
"10101","50-54","08221 Sant Just Desvern","Varones",539
"10102","55-59","08221 Sant Just Desvern","Varones",419
"10103","60-64","08221 Sant Just Desvern","Varones",316
"10104","65-69","08221 Sant Just Desvern","Varones",310
"10105","70-74","08221 Sant Just Desvern","Varones",234
"10106","75-79","08221 Sant Just Desvern","Varones",157
"10107","80-84","08221 Sant Just Desvern","Varones",87
"10108","85 y más","08221 Sant Just Desvern","Varones",72
"10109","Total","08222 Sant Llorenç d'Hortons","Varones",902
"10110","0-4","08222 Sant Llorenç d'Hortons","Varones",45
"10111","05-09","08222 Sant Llorenç d'Hortons","Varones",45
"10112","10-14","08222 Sant Llorenç d'Hortons","Varones",48
"10113","15-19","08222 Sant Llorenç d'Hortons","Varones",48
"10114","20-24","08222 Sant Llorenç d'Hortons","Varones",43
"10115","25-29","08222 Sant Llorenç d'Hortons","Varones",77
"10116","30-34","08222 Sant Llorenç d'Hortons","Varones",81
"10117","35-39","08222 Sant Llorenç d'Hortons","Varones",93
"10118","40-44","08222 Sant Llorenç d'Hortons","Varones",71
"10119","45-49","08222 Sant Llorenç d'Hortons","Varones",73
"10120","50-54","08222 Sant Llorenç d'Hortons","Varones",50
"10121","55-59","08222 Sant Llorenç d'Hortons","Varones",43
"10122","60-64","08222 Sant Llorenç d'Hortons","Varones",33
"10123","65-69","08222 Sant Llorenç d'Hortons","Varones",50
"10124","70-74","08222 Sant Llorenç d'Hortons","Varones",36
"10125","75-79","08222 Sant Llorenç d'Hortons","Varones",30
"10126","80-84","08222 Sant Llorenç d'Hortons","Varones",17
"10127","85 y más","08222 Sant Llorenç d'Hortons","Varones",19
"10128","Total","08223 Sant Llorenç Savall","Varones",1069
"10129","0-4","08223 Sant Llorenç Savall","Varones",57
"10130","05-09","08223 Sant Llorenç Savall","Varones",39
"10131","10-14","08223 Sant Llorenç Savall","Varones",52
"10132","15-19","08223 Sant Llorenç Savall","Varones",56
"10133","20-24","08223 Sant Llorenç Savall","Varones",64
"10134","25-29","08223 Sant Llorenç Savall","Varones",110
"10135","30-34","08223 Sant Llorenç Savall","Varones",56
"10136","35-39","08223 Sant Llorenç Savall","Varones",100
"10137","40-44","08223 Sant Llorenç Savall","Varones",71
"10138","45-49","08223 Sant Llorenç Savall","Varones",69
"10139","50-54","08223 Sant Llorenç Savall","Varones",66
"10140","55-59","08223 Sant Llorenç Savall","Varones",55
"10141","60-64","08223 Sant Llorenç Savall","Varones",43
"10142","65-69","08223 Sant Llorenç Savall","Varones",76
"10143","70-74","08223 Sant Llorenç Savall","Varones",60
"10144","75-79","08223 Sant Llorenç Savall","Varones",45
"10145","80-84","08223 Sant Llorenç Savall","Varones",26
"10146","85 y más","08223 Sant Llorenç Savall","Varones",24
"10147","Total","08224 Sant Martí de Centelles","Varones",409
"10148","0-4","08224 Sant Martí de Centelles","Varones",24
"10149","05-09","08224 Sant Martí de Centelles","Varones",20
"10150","10-14","08224 Sant Martí de Centelles","Varones",22
"10151","15-19","08224 Sant Martí de Centelles","Varones",12
"10152","20-24","08224 Sant Martí de Centelles","Varones",26
"10153","25-29","08224 Sant Martí de Centelles","Varones",39
"10154","30-34","08224 Sant Martí de Centelles","Varones",42
"10155","35-39","08224 Sant Martí de Centelles","Varones",49
"10156","40-44","08224 Sant Martí de Centelles","Varones",33
"10157","45-49","08224 Sant Martí de Centelles","Varones",19
"10158","50-54","08224 Sant Martí de Centelles","Varones",27
"10159","55-59","08224 Sant Martí de Centelles","Varones",19
"10160","60-64","08224 Sant Martí de Centelles","Varones",13
"10161","65-69","08224 Sant Martí de Centelles","Varones",23
"10162","70-74","08224 Sant Martí de Centelles","Varones",18
"10163","75-79","08224 Sant Martí de Centelles","Varones",16
"10164","80-84","08224 Sant Martí de Centelles","Varones",3
"10165","85 y más","08224 Sant Martí de Centelles","Varones",4
"10166","Total","08225 Sant Martí d'Albars","Varones",67
"10167","0-4","08225 Sant Martí d'Albars","Varones",3
"10168","05-09","08225 Sant Martí d'Albars","Varones",1
"10169","10-14","08225 Sant Martí d'Albars","Varones",2
"10170","15-19","08225 Sant Martí d'Albars","Varones",3
"10171","20-24","08225 Sant Martí d'Albars","Varones",3
"10172","25-29","08225 Sant Martí d'Albars","Varones",7
"10173","30-34","08225 Sant Martí d'Albars","Varones",6
"10174","35-39","08225 Sant Martí d'Albars","Varones",4
"10175","40-44","08225 Sant Martí d'Albars","Varones",7
"10176","45-49","08225 Sant Martí d'Albars","Varones",5
"10177","50-54","08225 Sant Martí d'Albars","Varones",3
"10178","55-59","08225 Sant Martí d'Albars","Varones",7
"10179","60-64","08225 Sant Martí d'Albars","Varones",3
"10180","65-69","08225 Sant Martí d'Albars","Varones",5
"10181","70-74","08225 Sant Martí d'Albars","Varones",3
"10182","75-79","08225 Sant Martí d'Albars","Varones",1
"10183","80-84","08225 Sant Martí d'Albars","Varones",3
"10184","85 y más","08225 Sant Martí d'Albars","Varones",1
"10185","Total","08226 Sant Martí de Tous","Varones",518
"10186","0-4","08226 Sant Martí de Tous","Varones",27
"10187","05-09","08226 Sant Martí de Tous","Varones",29
"10188","10-14","08226 Sant Martí de Tous","Varones",21
"10189","15-19","08226 Sant Martí de Tous","Varones",23
"10190","20-24","08226 Sant Martí de Tous","Varones",31
"10191","25-29","08226 Sant Martí de Tous","Varones",49
"10192","30-34","08226 Sant Martí de Tous","Varones",53
"10193","35-39","08226 Sant Martí de Tous","Varones",38
"10194","40-44","08226 Sant Martí de Tous","Varones",28
"10195","45-49","08226 Sant Martí de Tous","Varones",35
"10196","50-54","08226 Sant Martí de Tous","Varones",32
"10197","55-59","08226 Sant Martí de Tous","Varones",25
"10198","60-64","08226 Sant Martí de Tous","Varones",26
"10199","65-69","08226 Sant Martí de Tous","Varones",31
"10200","70-74","08226 Sant Martí de Tous","Varones",20
"10201","75-79","08226 Sant Martí de Tous","Varones",24
"10202","80-84","08226 Sant Martí de Tous","Varones",16
"10203","85 y más","08226 Sant Martí de Tous","Varones",10
"10204","Total","08227 Sant Martí Sarroca","Varones",1268
"10205","0-4","08227 Sant Martí Sarroca","Varones",56
"10206","05-09","08227 Sant Martí Sarroca","Varones",50
"10207","10-14","08227 Sant Martí Sarroca","Varones",53
"10208","15-19","08227 Sant Martí Sarroca","Varones",70
"10209","20-24","08227 Sant Martí Sarroca","Varones",108
"10210","25-29","08227 Sant Martí Sarroca","Varones",98
"10211","30-34","08227 Sant Martí Sarroca","Varones",89
"10212","35-39","08227 Sant Martí Sarroca","Varones",90
"10213","40-44","08227 Sant Martí Sarroca","Varones",99
"10214","45-49","08227 Sant Martí Sarroca","Varones",96
"10215","50-54","08227 Sant Martí Sarroca","Varones",87
"10216","55-59","08227 Sant Martí Sarroca","Varones",65
"10217","60-64","08227 Sant Martí Sarroca","Varones",53
"10218","65-69","08227 Sant Martí Sarroca","Varones",67
"10219","70-74","08227 Sant Martí Sarroca","Varones",69
"10220","75-79","08227 Sant Martí Sarroca","Varones",58
"10221","80-84","08227 Sant Martí Sarroca","Varones",36
"10222","85 y más","08227 Sant Martí Sarroca","Varones",24
"10223","Total","08228 Sant Martí Sesgueioles","Varones",176
"10224","0-4","08228 Sant Martí Sesgueioles","Varones",5
"10225","05-09","08228 Sant Martí Sesgueioles","Varones",9
"10226","10-14","08228 Sant Martí Sesgueioles","Varones",10
"10227","15-19","08228 Sant Martí Sesgueioles","Varones",6
"10228","20-24","08228 Sant Martí Sesgueioles","Varones",9
"10229","25-29","08228 Sant Martí Sesgueioles","Varones",15
"10230","30-34","08228 Sant Martí Sesgueioles","Varones",17
"10231","35-39","08228 Sant Martí Sesgueioles","Varones",14
"10232","40-44","08228 Sant Martí Sesgueioles","Varones",17
"10233","45-49","08228 Sant Martí Sesgueioles","Varones",6
"10234","50-54","08228 Sant Martí Sesgueioles","Varones",11
"10235","55-59","08228 Sant Martí Sesgueioles","Varones",10
"10236","60-64","08228 Sant Martí Sesgueioles","Varones",8
"10237","65-69","08228 Sant Martí Sesgueioles","Varones",10
"10238","70-74","08228 Sant Martí Sesgueioles","Varones",10
"10239","75-79","08228 Sant Martí Sesgueioles","Varones",11
"10240","80-84","08228 Sant Martí Sesgueioles","Varones",4
"10241","85 y más","08228 Sant Martí Sesgueioles","Varones",4
"10242","Total","08229 Sant Mateu de Bages","Varones",345
"10243","0-4","08229 Sant Mateu de Bages","Varones",8
"10244","05-09","08229 Sant Mateu de Bages","Varones",15
"10245","10-14","08229 Sant Mateu de Bages","Varones",13
"10246","15-19","08229 Sant Mateu de Bages","Varones",14
"10247","20-24","08229 Sant Mateu de Bages","Varones",16
"10248","25-29","08229 Sant Mateu de Bages","Varones",30
"10249","30-34","08229 Sant Mateu de Bages","Varones",17
"10250","35-39","08229 Sant Mateu de Bages","Varones",18
"10251","40-44","08229 Sant Mateu de Bages","Varones",30
"10252","45-49","08229 Sant Mateu de Bages","Varones",27
"10253","50-54","08229 Sant Mateu de Bages","Varones",22
"10254","55-59","08229 Sant Mateu de Bages","Varones",22
"10255","60-64","08229 Sant Mateu de Bages","Varones",15
"10256","65-69","08229 Sant Mateu de Bages","Varones",30
"10257","70-74","08229 Sant Mateu de Bages","Varones",24
"10258","75-79","08229 Sant Mateu de Bages","Varones",22
"10259","80-84","08229 Sant Mateu de Bages","Varones",14
"10260","85 y más","08229 Sant Mateu de Bages","Varones",8
"10261","Total","08230 Premià de Dalt","Varones",4701
"10262","0-4","08230 Premià de Dalt","Varones",265
"10263","05-09","08230 Premià de Dalt","Varones",260
"10264","10-14","08230 Premià de Dalt","Varones",250
"10265","15-19","08230 Premià de Dalt","Varones",283
"10266","20-24","08230 Premià de Dalt","Varones",366
"10267","25-29","08230 Premià de Dalt","Varones",411
"10268","30-34","08230 Premià de Dalt","Varones",420
"10269","35-39","08230 Premià de Dalt","Varones",407
"10270","40-44","08230 Premià de Dalt","Varones",398
"10271","45-49","08230 Premià de Dalt","Varones",328
"10272","50-54","08230 Premià de Dalt","Varones",367
"10273","55-59","08230 Premià de Dalt","Varones",279
"10274","60-64","08230 Premià de Dalt","Varones",186
"10275","65-69","08230 Premià de Dalt","Varones",196
"10276","70-74","08230 Premià de Dalt","Varones",144
"10277","75-79","08230 Premià de Dalt","Varones",70
"10278","80-84","08230 Premià de Dalt","Varones",43
"10279","85 y más","08230 Premià de Dalt","Varones",28
"10280","Total","08231 Sant Pere de Ribes","Varones",12053
"10281","0-4","08231 Sant Pere de Ribes","Varones",747
"10282","05-09","08231 Sant Pere de Ribes","Varones",659
"10283","10-14","08231 Sant Pere de Ribes","Varones",653
"10284","15-19","08231 Sant Pere de Ribes","Varones",717
"10285","20-24","08231 Sant Pere de Ribes","Varones",960
"10286","25-29","08231 Sant Pere de Ribes","Varones",1168
"10287","30-34","08231 Sant Pere de Ribes","Varones",1211
"10288","35-39","08231 Sant Pere de Ribes","Varones",1136
"10289","40-44","08231 Sant Pere de Ribes","Varones",999
"10290","45-49","08231 Sant Pere de Ribes","Varones",861
"10291","50-54","08231 Sant Pere de Ribes","Varones",770
"10292","55-59","08231 Sant Pere de Ribes","Varones",590
"10293","60-64","08231 Sant Pere de Ribes","Varones",429
"10294","65-69","08231 Sant Pere de Ribes","Varones",423
"10295","70-74","08231 Sant Pere de Ribes","Varones",322
"10296","75-79","08231 Sant Pere de Ribes","Varones",238
"10297","80-84","08231 Sant Pere de Ribes","Varones",103
"10298","85 y más","08231 Sant Pere de Ribes","Varones",67
"10299","Total","08232 Sant Pere de Riudebitlles","Varones",1045
"10300","0-4","08232 Sant Pere de Riudebitlles","Varones",42
"10301","05-09","08232 Sant Pere de Riudebitlles","Varones",43
"10302","10-14","08232 Sant Pere de Riudebitlles","Varones",44
"10303","15-19","08232 Sant Pere de Riudebitlles","Varones",52
"10304","20-24","08232 Sant Pere de Riudebitlles","Varones",78
"10305","25-29","08232 Sant Pere de Riudebitlles","Varones",102
"10306","30-34","08232 Sant Pere de Riudebitlles","Varones",96
"10307","35-39","08232 Sant Pere de Riudebitlles","Varones",74
"10308","40-44","08232 Sant Pere de Riudebitlles","Varones",69
"10309","45-49","08232 Sant Pere de Riudebitlles","Varones",71
"10310","50-54","08232 Sant Pere de Riudebitlles","Varones",76
"10311","55-59","08232 Sant Pere de Riudebitlles","Varones",67
"10312","60-64","08232 Sant Pere de Riudebitlles","Varones",54
"10313","65-69","08232 Sant Pere de Riudebitlles","Varones",45
"10314","70-74","08232 Sant Pere de Riudebitlles","Varones",58
"10315","75-79","08232 Sant Pere de Riudebitlles","Varones",36
"10316","80-84","08232 Sant Pere de Riudebitlles","Varones",21
"10317","85 y más","08232 Sant Pere de Riudebitlles","Varones",17
"10318","Total","08233 Sant Pere de Torelló","Varones",1108
"10319","0-4","08233 Sant Pere de Torelló","Varones",42
"10320","05-09","08233 Sant Pere de Torelló","Varones",53
"10321","10-14","08233 Sant Pere de Torelló","Varones",37
"10322","15-19","08233 Sant Pere de Torelló","Varones",68
"10323","20-24","08233 Sant Pere de Torelló","Varones",80
"10324","25-29","08233 Sant Pere de Torelló","Varones",97
"10325","30-34","08233 Sant Pere de Torelló","Varones",95
"10326","35-39","08233 Sant Pere de Torelló","Varones",87
"10327","40-44","08233 Sant Pere de Torelló","Varones",94
"10328","45-49","08233 Sant Pere de Torelló","Varones",92
"10329","50-54","08233 Sant Pere de Torelló","Varones",67
"10330","55-59","08233 Sant Pere de Torelló","Varones",58
"10331","60-64","08233 Sant Pere de Torelló","Varones",45
"10332","65-69","08233 Sant Pere de Torelló","Varones",53
"10333","70-74","08233 Sant Pere de Torelló","Varones",43
"10334","75-79","08233 Sant Pere de Torelló","Varones",62
"10335","80-84","08233 Sant Pere de Torelló","Varones",18
"10336","85 y más","08233 Sant Pere de Torelló","Varones",17
"10337","Total","08234 Sant Pere de Vilamajor","Varones",1537
"10338","0-4","08234 Sant Pere de Vilamajor","Varones",102
"10339","05-09","08234 Sant Pere de Vilamajor","Varones",79
"10340","10-14","08234 Sant Pere de Vilamajor","Varones",78
"10341","15-19","08234 Sant Pere de Vilamajor","Varones",56
"10342","20-24","08234 Sant Pere de Vilamajor","Varones",82
"10343","25-29","08234 Sant Pere de Vilamajor","Varones",152
"10344","30-34","08234 Sant Pere de Vilamajor","Varones",153
"10345","35-39","08234 Sant Pere de Vilamajor","Varones",169
"10346","40-44","08234 Sant Pere de Vilamajor","Varones",129
"10347","45-49","08234 Sant Pere de Vilamajor","Varones",98
"10348","50-54","08234 Sant Pere de Vilamajor","Varones",94
"10349","55-59","08234 Sant Pere de Vilamajor","Varones",80
"10350","60-64","08234 Sant Pere de Vilamajor","Varones",63
"10351","65-69","08234 Sant Pere de Vilamajor","Varones",80
"10352","70-74","08234 Sant Pere de Vilamajor","Varones",50
"10353","75-79","08234 Sant Pere de Vilamajor","Varones",37
"10354","80-84","08234 Sant Pere de Vilamajor","Varones",16
"10355","85 y más","08234 Sant Pere de Vilamajor","Varones",19
"10356","Total","08235 Sant Pol de Mar","Varones",2054
"10357","0-4","08235 Sant Pol de Mar","Varones",101
"10358","05-09","08235 Sant Pol de Mar","Varones",95
"10359","10-14","08235 Sant Pol de Mar","Varones",90
"10360","15-19","08235 Sant Pol de Mar","Varones",105
"10361","20-24","08235 Sant Pol de Mar","Varones",142
"10362","25-29","08235 Sant Pol de Mar","Varones",160
"10363","30-34","08235 Sant Pol de Mar","Varones",182
"10364","35-39","08235 Sant Pol de Mar","Varones",184
"10365","40-44","08235 Sant Pol de Mar","Varones",167
"10366","45-49","08235 Sant Pol de Mar","Varones",154
"10367","50-54","08235 Sant Pol de Mar","Varones",163
"10368","55-59","08235 Sant Pol de Mar","Varones",143
"10369","60-64","08235 Sant Pol de Mar","Varones",102
"10370","65-69","08235 Sant Pol de Mar","Varones",96
"10371","70-74","08235 Sant Pol de Mar","Varones",71
"10372","75-79","08235 Sant Pol de Mar","Varones",46
"10373","80-84","08235 Sant Pol de Mar","Varones",34
"10374","85 y más","08235 Sant Pol de Mar","Varones",19
"10375","Total","08236 Sant Quintí de Mediona","Varones",945
"10376","0-4","08236 Sant Quintí de Mediona","Varones",47
"10377","05-09","08236 Sant Quintí de Mediona","Varones",39
"10378","10-14","08236 Sant Quintí de Mediona","Varones",40
"10379","15-19","08236 Sant Quintí de Mediona","Varones",49
"10380","20-24","08236 Sant Quintí de Mediona","Varones",73
"10381","25-29","08236 Sant Quintí de Mediona","Varones",98
"10382","30-34","08236 Sant Quintí de Mediona","Varones",86
"10383","35-39","08236 Sant Quintí de Mediona","Varones",69
"10384","40-44","08236 Sant Quintí de Mediona","Varones",69
"10385","45-49","08236 Sant Quintí de Mediona","Varones",57
"10386","50-54","08236 Sant Quintí de Mediona","Varones",51
"10387","55-59","08236 Sant Quintí de Mediona","Varones",63
"10388","60-64","08236 Sant Quintí de Mediona","Varones",41
"10389","65-69","08236 Sant Quintí de Mediona","Varones",40
"10390","70-74","08236 Sant Quintí de Mediona","Varones",57
"10391","75-79","08236 Sant Quintí de Mediona","Varones",36
"10392","80-84","08236 Sant Quintí de Mediona","Varones",20
"10393","85 y más","08236 Sant Quintí de Mediona","Varones",10
"10394","Total","08237 Sant Quirze de Besora","Varones",982
"10395","0-4","08237 Sant Quirze de Besora","Varones",37
"10396","05-09","08237 Sant Quirze de Besora","Varones",35
"10397","10-14","08237 Sant Quirze de Besora","Varones",46
"10398","15-19","08237 Sant Quirze de Besora","Varones",36
"10399","20-24","08237 Sant Quirze de Besora","Varones",76
"10400","25-29","08237 Sant Quirze de Besora","Varones",88
"10401","30-34","08237 Sant Quirze de Besora","Varones",70
"10402","35-39","08237 Sant Quirze de Besora","Varones",70
"10403","40-44","08237 Sant Quirze de Besora","Varones",63
"10404","45-49","08237 Sant Quirze de Besora","Varones",63
"10405","50-54","08237 Sant Quirze de Besora","Varones",63
"10406","55-59","08237 Sant Quirze de Besora","Varones",66
"10407","60-64","08237 Sant Quirze de Besora","Varones",46
"10408","65-69","08237 Sant Quirze de Besora","Varones",71
"10409","70-74","08237 Sant Quirze de Besora","Varones",80
"10410","75-79","08237 Sant Quirze de Besora","Varones",38
"10411","80-84","08237 Sant Quirze de Besora","Varones",17
"10412","85 y más","08237 Sant Quirze de Besora","Varones",17
"10413","Total","08238 Sant Quirze del Vallès","Varones",6964
"10414","0-4","08238 Sant Quirze del Vallès","Varones",449
"10415","05-09","08238 Sant Quirze del Vallès","Varones",426
"10416","10-14","08238 Sant Quirze del Vallès","Varones",454
"10417","15-19","08238 Sant Quirze del Vallès","Varones",530
"10418","20-24","08238 Sant Quirze del Vallès","Varones",542
"10419","25-29","08238 Sant Quirze del Vallès","Varones",539
"10420","30-34","08238 Sant Quirze del Vallès","Varones",565
"10421","35-39","08238 Sant Quirze del Vallès","Varones",607
"10422","40-44","08238 Sant Quirze del Vallès","Varones",660
"10423","45-49","08238 Sant Quirze del Vallès","Varones",619
"10424","50-54","08238 Sant Quirze del Vallès","Varones",538
"10425","55-59","08238 Sant Quirze del Vallès","Varones",333
"10426","60-64","08238 Sant Quirze del Vallès","Varones",201
"10427","65-69","08238 Sant Quirze del Vallès","Varones",179
"10428","70-74","08238 Sant Quirze del Vallès","Varones",134
"10429","75-79","08238 Sant Quirze del Vallès","Varones",101
"10430","80-84","08238 Sant Quirze del Vallès","Varones",52
"10431","85 y más","08238 Sant Quirze del Vallès","Varones",35
"10432","Total","08239 Sant Quirze Safaja","Varones",246
"10433","0-4","08239 Sant Quirze Safaja","Varones",13
"10434","05-09","08239 Sant Quirze Safaja","Varones",11
"10435","10-14","08239 Sant Quirze Safaja","Varones",12
"10436","15-19","08239 Sant Quirze Safaja","Varones",10
"10437","20-24","08239 Sant Quirze Safaja","Varones",16
"10438","25-29","08239 Sant Quirze Safaja","Varones",24
"10439","30-34","08239 Sant Quirze Safaja","Varones",26
"10440","35-39","08239 Sant Quirze Safaja","Varones",26
"10441","40-44","08239 Sant Quirze Safaja","Varones",13
"10442","45-49","08239 Sant Quirze Safaja","Varones",22
"10443","50-54","08239 Sant Quirze Safaja","Varones",17
"10444","55-59","08239 Sant Quirze Safaja","Varones",15
"10445","60-64","08239 Sant Quirze Safaja","Varones",10
"10446","65-69","08239 Sant Quirze Safaja","Varones",12
"10447","70-74","08239 Sant Quirze Safaja","Varones",11
"10448","75-79","08239 Sant Quirze Safaja","Varones",4
"10449","80-84","08239 Sant Quirze Safaja","Varones",1
"10450","85 y más","08239 Sant Quirze Safaja","Varones",3
"10451","Total","08240 Sant Sadurní d'Anoia","Varones",5019
"10452","0-4","08240 Sant Sadurní d'Anoia","Varones",266
"10453","05-09","08240 Sant Sadurní d'Anoia","Varones",260
"10454","10-14","08240 Sant Sadurní d'Anoia","Varones",269
"10455","15-19","08240 Sant Sadurní d'Anoia","Varones",313
"10456","20-24","08240 Sant Sadurní d'Anoia","Varones",393
"10457","25-29","08240 Sant Sadurní d'Anoia","Varones",410
"10458","30-34","08240 Sant Sadurní d'Anoia","Varones",443
"10459","35-39","08240 Sant Sadurní d'Anoia","Varones",427
"10460","40-44","08240 Sant Sadurní d'Anoia","Varones",414
"10461","45-49","08240 Sant Sadurní d'Anoia","Varones",348
"10462","50-54","08240 Sant Sadurní d'Anoia","Varones",305
"10463","55-59","08240 Sant Sadurní d'Anoia","Varones",253
"10464","60-64","08240 Sant Sadurní d'Anoia","Varones",197
"10465","65-69","08240 Sant Sadurní d'Anoia","Varones",212
"10466","70-74","08240 Sant Sadurní d'Anoia","Varones",207
"10467","75-79","08240 Sant Sadurní d'Anoia","Varones",167
"10468","80-84","08240 Sant Sadurní d'Anoia","Varones",83
"10469","85 y más","08240 Sant Sadurní d'Anoia","Varones",52
"10470","Total","08241 Sant Sadurní d'Osormort","Varones",45
"10471","0-4","08241 Sant Sadurní d'Osormort","Varones",3
"10472","05-09","08241 Sant Sadurní d'Osormort","Varones",2
"10473","10-14","08241 Sant Sadurní d'Osormort","Varones",3
"10474","15-19","08241 Sant Sadurní d'Osormort","Varones",2
"10475","20-24","08241 Sant Sadurní d'Osormort","Varones",2
"10476","25-29","08241 Sant Sadurní d'Osormort","Varones",2
"10477","30-34","08241 Sant Sadurní d'Osormort","Varones",2
"10478","35-39","08241 Sant Sadurní d'Osormort","Varones",9
"10479","40-44","08241 Sant Sadurní d'Osormort","Varones",2
"10480","45-49","08241 Sant Sadurní d'Osormort","Varones",5
"10481","50-54","08241 Sant Sadurní d'Osormort","Varones",2
"10482","55-59","08241 Sant Sadurní d'Osormort","Varones",0
"10483","60-64","08241 Sant Sadurní d'Osormort","Varones",4
"10484","65-69","08241 Sant Sadurní d'Osormort","Varones",4
"10485","70-74","08241 Sant Sadurní d'Osormort","Varones",2
"10486","75-79","08241 Sant Sadurní d'Osormort","Varones",1
"10487","80-84","08241 Sant Sadurní d'Osormort","Varones",0
"10488","85 y más","08241 Sant Sadurní d'Osormort","Varones",0
"10489","Total","08242 Marganell","Varones",107
"10490","0-4","08242 Marganell","Varones",3
"10491","05-09","08242 Marganell","Varones",3
"10492","10-14","08242 Marganell","Varones",3
"10493","15-19","08242 Marganell","Varones",5
"10494","20-24","08242 Marganell","Varones",2
"10495","25-29","08242 Marganell","Varones",6
"10496","30-34","08242 Marganell","Varones",9
"10497","35-39","08242 Marganell","Varones",17
"10498","40-44","08242 Marganell","Varones",8
"10499","45-49","08242 Marganell","Varones",11
"10500","50-54","08242 Marganell","Varones",5
"10501","55-59","08242 Marganell","Varones",7
"10502","60-64","08242 Marganell","Varones",8
