"","Periodo","Sexo","Provincias","value"
"3329","2006","Mujeres","52 Melilla",32909
"3330","2005","Mujeres","52 Melilla",32166
"3331","2004","Mujeres","52 Melilla",33561
"3332","2003","Mujeres","52 Melilla",33726
"3333","2002","Mujeres","52 Melilla",34006
"3334","2001","Mujeres","52 Melilla",33762
"3335","2000","Mujeres","52 Melilla",32287
"3336","1999","Mujeres","52 Melilla",27977
"3337","1998","Mujeres","52 Melilla",29539
"3338","1997","Mujeres","52 Melilla",NA
"3339","1996","Mujeres","52 Melilla",29929
